idcliente,municipio
1,CHAPELTIQUE
100,CHAPELTIQUE
103,CHAPELTIQUE
104,CHAPELTIQUE
105,CHAPELTIQUE
107,CHAPELTIQUE
115,CHAPELTIQUE
116,CHAPELTIQUE
117,CHAPELTIQUE
118,CHAPELTIQUE
119,CHAPELTIQUE
121,CHAPELTIQUE
129,CHAPELTIQUE
133,CHAPELTIQUE
161,CHAPELTIQUE
165,CHAPELTIQUE
175,MONCAGUA
176,CHAPELTIQUE
37,CHAPELTIQUE
44,SAN MIGUEL
46,SAN MIGUEL
47,SAN MIGUEL
48,SAN MIGUEL
49,SAN MIGUEL
50,SAN MIGUEL
51,SAN MIGUEL
52,SAN MIGUEL
53,SAN MIGUEL
54,SAN MIGUEL
55,CHAPELTIQUE
57,MONCAGUA
67,SAN MIGUEL
68,SAN MIGUEL
69,SAN MIGUEL
70,SAN MIGUEL
71,SAN MIGUEL
72,SAN MIGUEL
73,SAN MIGUEL
74,SAN MIGUEL
75,SAN MIGUEL
76,SAN MIGUEL
78,SAN MIGUEL
79,SAN MIGUEL
80,SAN MIGUEL
81,SAN MIGUEL
82,SAN MIGUEL
83,SAN MIGUEL
84,SAN MIGUEL
85,SAN MIGUEL
86,SAN MIGUEL
87,SAN MIGUEL
88,SAN MIGUEL
89,SAN MIGUEL
90,SAN MIGUEL
91,SAN MIGUEL
92,SAN MIGUEL
93,SAN MIGUEL
94,CHAPELTIQUE
95,SAN MIGUEL
96,SAN MIGUEL
97,SAN MIGUEL
98,SAN MIGUEL
131,CHAPELTIQUE
181,CHAPELTIQUE
192,SAN MIGUEL
193,SAN MIGUEL
194,SAN MIGUEL
195,SAN MIGUEL
196,SAN MIGUEL
197,SAN MIGUEL
01,CHAPELTIQUE
198,SAN MIGUEL
199,SAN MIGUEL
201,SAN MIGUEL
203,SAN MIGUEL
204,SAN MIGUEL
207,SAN MIGUEL
208,SAN MIGUEL
209,SAN MIGUEL
210,SAN MIGUEL
212,SAN MIGUEL
213,SAN MIGUEL
222,MORAZAN
223,SAN MIGUEL
225,SAN MIGUEL
226,SAN MIGUEL
228,SAN MIGUEL
229,SAN MIGUEL
230,SAN MIGUEL
231,SAN MIGUEL
232,SAN MIGUEL
233,SAN MIGUEL
237,SAN MIGUEL
238,SAN MIGUEL
239,SAN MIGUEL
128,SAN MIGUEL
242,SAN MIGUEL
243,SAN MIGUEL
244,SAN MIGUEL
245,SAN MIGUEL
246,CAROLINA
247,CHAPELTIQUE
248,SAN MIGUEL
249,SAN MIGUEL
250,SAN MIGUEL
259,SAN MIGUEL
260,SAN MIGUEL
261,SAN MIGUEL
263,SAN MIGUEL
265,SAN MIGUEL
267,SAN MIGUEL
268,SAN MIGUEL
269,SAN MIGUEL
270,SAN MIGUEL
271,SAN MIGUEL
272,SAN MIGUEL
277,SAN MIGUEL
278,CHAPELTIQUE
280,SAN MIGUEL
282,SAN MIGUEL
283,SAN MIGUEL
285,SAN MIGUEL
288,CHAPELTIQUE
290,SAN MIGUEL
291,SAN MIGUEL
293,SAN MIGUEL
294,SAN MIGUEL
295,SAN MIGUEL
296,SAN MIGUEL
298,SAN MIGUEL
300,SAN MIGUEL
302,SAN MIGUEL
304,SAN MIGUEL
305,SAN MIGUEL
306,SAN MIGUEL
307,SAN MIGUEL
317,SAN MIGUEL
319,SAN MIGUEL
322,SAN MIGUEL
326,SAN MIGUEL
327,MARAZAN
331,SAN MIGUEL
334,SAN MIGUEL
335,SAN MIGUEL
336,SAN MIGUEL
337,SAN MIGUEL
338,SAN MIGUEL
339,SAN MIGUEL
340,SAN MIGUEL
341,SAN MIGUEL
342,SAN MIGUEL
343,SAN MIGUEL
344,SAN MIGUEL
345,SAN MIGUEL
346,SAN MIGUEL
347,SAN MIGUEL
348,SAN MIGUEL
349,SAN MIGUEL
350,SAN MIGUEL
351,SAN MIGUEL
352,SAN MIGUEI
353,SAN MIGUEL
365,SAN MIGUEL
367,SAN MIGUEL
372,SAN MIGUEL
373,SAN MIGUEL
378,SAN MIGUEL
380,SAN MIGUEL
